location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
ind,mkt,monthly,vw,na,968,na,31-08-2006,0.090536993
ind,mkt,monthly,vw,na,976,na,30-09-2006,0.079700882
ind,mkt,monthly,vw,na,972,na,31-10-2006,0.063653916
ind,mkt,monthly,vw,na,984,na,30-11-2006,0.054855976
ind,mkt,monthly,vw,na,990,na,31-12-2006,0.012703668
ind,mkt,monthly,vw,na,998,na,31-01-2007,0.035126652
ind,mkt,monthly,vw,na,1023,na,28-02-2007,-0.089744985
ind,mkt,monthly,vw,na,1039,na,31-03-2007,0.027392138
ind,mkt,monthly,vw,na,1065,na,30-04-2007,0.130084732
ind,mkt,monthly,vw,na,1139,na,31-05-2007,0.070635533
ind,mkt,monthly,vw,na,1154,na,30-06-2007,0.016465993
ind,mkt,monthly,vw,na,1164,na,31-07-2007,0.053760863
ind,mkt,monthly,vw,na,1188,na,31-08-2007,-0.022842227
ind,mkt,monthly,vw,na,1219,na,30-09-2007,0.171151832
ind,mkt,monthly,vw,na,1241,na,31-10-2007,0.208324176
ind,mkt,monthly,vw,na,1421,na,30-11-2007,-0.013089176
ind,mkt,monthly,vw,na,1422,na,31-12-2007,0.111932033
ind,mkt,monthly,vw,na,1431,na,31-01-2008,-0.199970326
ind,mkt,monthly,vw,na,1471,na,29-02-2008,-0.014722052
ind,mkt,monthly,vw,na,1479,na,31-03-2008,-0.130535605
ind,mkt,monthly,vw,na,1485,na,30-04-2008,0.106930622
ind,mkt,monthly,vw,na,1497,na,31-05-2008,-0.110020882
ind,mkt,monthly,vw,na,1506,na,30-06-2008,-0.205209567
ind,mkt,monthly,vw,na,1517,na,31-07-2008,0.090491669
ind,mkt,monthly,vw,na,1527,na,31-08-2008,-0.021303986
ind,mkt,monthly,vw,na,1539,na,30-09-2008,-0.180401701
ind,mkt,monthly,vw,na,1650,na,31-10-2008,-0.323951916
ind,mkt,monthly,vw,na,1705,na,30-11-2008,-0.079568165
ind,mkt,monthly,vw,na,1727,na,31-12-2008,0.1543281
ind,mkt,monthly,vw,na,1733,na,31-01-2009,-0.053909694
ind,mkt,monthly,vw,na,1748,na,28-02-2009,-0.082000657
ind,mkt,monthly,vw,na,1769,na,31-03-2009,0.078097762
ind,mkt,monthly,vw,na,1771,na,30-04-2009,0.18007562
ind,mkt,monthly,vw,na,1771,na,31-05-2009,0.445724194
ind,mkt,monthly,vw,na,1786,na,30-06-2009,-0.040530759
ind,mkt,monthly,vw,na,1798,na,31-07-2009,0.080517091
ind,mkt,monthly,vw,na,1812,na,31-08-2009,0.005213255
ind,mkt,monthly,vw,na,1825,na,30-09-2009,0.101436231
ind,mkt,monthly,vw,na,1847,na,31-10-2009,-0.051379537
ind,mkt,monthly,vw,na,1876,na,30-11-2009,0.092479377
ind,mkt,monthly,vw,na,1890,na,31-12-2009,0.047575851
ind,mkt,monthly,vw,na,1909,na,31-01-2010,-0.027365625
ind,mkt,monthly,vw,na,1932,na,28-02-2010,-0.006654014
ind,mkt,monthly,vw,na,1940,na,31-03-2010,0.069265336
ind,mkt,monthly,vw,na,1973,na,30-04-2010,0.032628506
ind,mkt,monthly,vw,na,2001,na,31-05-2010,-0.079722579
ind,mkt,monthly,vw,na,2038,na,30-06-2010,0.047045325
ind,mkt,monthly,vw,na,2061,na,31-07-2010,0.018962614
ind,mkt,monthly,vw,na,2074,na,31-08-2010,-0.004195001
ind,mkt,monthly,vw,na,2090,na,30-09-2010,0.142331997
ind,mkt,monthly,vw,na,2104,na,31-10-2010,0.006215534
ind,mkt,monthly,vw,na,2150,na,30-11-2010,-0.083286878
ind,mkt,monthly,vw,na,2165,na,31-12-2010,0.058160065
ind,mkt,monthly,vw,na,2170,na,31-01-2011,-0.121889474
ind,mkt,monthly,vw,na,2174,na,28-02-2011,-0.026400804
ind,mkt,monthly,vw,na,2191,na,31-03-2011,0.097453921
ind,mkt,monthly,vw,na,2197,na,30-04-2011,0.015508791
ind,mkt,monthly,vw,na,2199,na,31-05-2011,-0.047918936
ind,mkt,monthly,vw,na,2408,na,30-06-2011,0.013659885
ind,mkt,monthly,vw,na,2415,na,31-07-2011,-0.002052293
ind,mkt,monthly,vw,na,2428,na,31-08-2011,-0.122943299
ind,mkt,monthly,vw,na,2430,na,30-09-2011,-0.078284855
ind,mkt,monthly,vw,na,2448,na,31-10-2011,0.054101524
ind,mkt,monthly,vw,na,2525,na,30-11-2011,-0.151336134
ind,mkt,monthly,vw,na,2522,na,31-12-2011,-0.072108054
ind,mkt,monthly,vw,na,2523,na,31-01-2012,0.2173167
ind,mkt,monthly,vw,na,2537,na,29-02-2012,0.057892382
ind,mkt,monthly,vw,na,2573,na,31-03-2012,-0.057113921
ind,mkt,monthly,vw,na,2680,na,30-04-2012,-0.039410744
ind,mkt,monthly,vw,na,2795,na,31-05-2012,-0.116898027
ind,mkt,monthly,vw,na,2821,na,30-06-2012,0.069351735
ind,mkt,monthly,vw,na,2969,na,31-07-2012,-0.009976625
ind,mkt,monthly,vw,na,3092,na,31-08-2012,0.001197246
ind,mkt,monthly,vw,na,3104,na,30-09-2012,0.135852127
ind,mkt,monthly,vw,na,3108,na,31-10-2012,-0.031362316
ind,mkt,monthly,vw,na,3099,na,30-11-2012,0.03245891
ind,mkt,monthly,vw,na,3119,na,31-12-2012,0.006531241
ind,mkt,monthly,vw,na,3149,na,31-01-2013,0.045160952
ind,mkt,monthly,vw,na,3179,na,28-02-2013,-0.088804805
ind,mkt,monthly,vw,na,3171,na,31-03-2013,-0.020987458
ind,mkt,monthly,vw,na,3098,na,30-04-2013,0.0512692
ind,mkt,monthly,vw,na,3016,na,31-05-2013,-0.041960122
ind,mkt,monthly,vw,na,2991,na,30-06-2013,-0.086669479
ind,mkt,monthly,vw,na,3005,na,31-07-2013,-0.039715358
ind,mkt,monthly,vw,na,3073,na,31-08-2013,-0.113527826
ind,mkt,monthly,vw,na,3075,na,30-09-2013,0.106228879
ind,mkt,monthly,vw,na,3125,na,31-10-2013,0.098992863
ind,mkt,monthly,vw,na,3168,na,30-11-2013,-0.02070908
ind,mkt,monthly,vw,na,3265,na,31-12-2013,0.044206793
ind,mkt,monthly,vw,na,3308,na,31-01-2014,-0.050970429
ind,mkt,monthly,vw,na,3348,na,28-02-2014,0.036056763
ind,mkt,monthly,vw,na,3386,na,31-03-2014,0.112338041
ind,mkt,monthly,vw,na,3422,na,30-04-2014,0.003498461
ind,mkt,monthly,vw,na,3435,na,31-05-2014,0.144659616
ind,mkt,monthly,vw,na,3483,na,30-06-2014,0.057300414
ind,mkt,monthly,vw,na,3502,na,31-07-2014,-0.012620612
ind,mkt,monthly,vw,na,3483,na,31-08-2014,0.032055203
ind,mkt,monthly,vw,na,3511,na,30-09-2014,-0.007179605
ind,mkt,monthly,vw,na,3512,na,31-10-2014,0.040677895
ind,mkt,monthly,vw,na,3525,na,30-11-2014,0.0144796
ind,mkt,monthly,vw,na,3549,na,31-12-2014,-0.030693232
ind,mkt,monthly,vw,na,3538,na,31-01-2015,0.071140977
ind,mkt,monthly,vw,na,3505,na,28-02-2015,0.013047929
ind,mkt,monthly,vw,na,3489,na,31-03-2015,-0.037557539
ind,mkt,monthly,vw,na,3440,na,30-04-2015,-0.044053104
ind,mkt,monthly,vw,na,3408,na,31-05-2015,0.031677332
ind,mkt,monthly,vw,na,3403,na,30-06-2015,-0.008107588
ind,mkt,monthly,vw,na,3445,na,31-07-2015,0.026781428
ind,mkt,monthly,vw,na,3502,na,31-08-2015,-0.095949974
ind,mkt,monthly,vw,na,3379,na,30-09-2015,0.008574116
ind,mkt,monthly,vw,na,3388,na,31-10-2015,0.021670229
ind,mkt,monthly,vw,na,3379,na,30-11-2015,-0.023015152
ind,mkt,monthly,vw,na,3362,na,31-12-2015,0.019566308
ind,mkt,monthly,vw,na,3399,na,31-01-2016,-0.085026241
ind,mkt,monthly,vw,na,3352,na,29-02-2016,-0.09087443
ind,mkt,monthly,vw,na,3343,na,31-03-2016,0.143932955
ind,mkt,monthly,vw,na,3309,na,30-04-2016,0.022763868
ind,mkt,monthly,vw,na,3310,na,31-05-2016,0.007486029
ind,mkt,monthly,vw,na,3368,na,30-06-2016,0.033913769
ind,mkt,monthly,vw,na,3378,na,31-07-2016,0.062379828
ind,mkt,monthly,vw,na,3420,na,31-08-2016,0.01987526
ind,mkt,monthly,vw,na,3445,na,30-09-2016,-0.002067723
ind,mkt,monthly,vw,na,3469,na,31-10-2016,0.022194221
ind,mkt,monthly,vw,na,3453,na,30-11-2016,-0.07416223
ind,mkt,monthly,vw,na,3414,na,31-12-2016,-0.007441623
ind,mkt,monthly,vw,na,3446,na,31-01-2017,0.059609219
ind,mkt,monthly,vw,na,3485,na,28-02-2017,0.064038728
ind,mkt,monthly,vw,na,3496,na,31-03-2017,0.066263714
ind,mkt,monthly,vw,na,3496,na,30-04-2017,0.039477275
ind,mkt,monthly,vw,na,3473,na,31-05-2017,0.001167156
ind,mkt,monthly,vw,na,3402,na,30-06-2017,-0.001544372
ind,mkt,monthly,vw,na,3364,na,31-07-2017,0.062360464
ind,mkt,monthly,vw,na,3352,na,31-08-2017,-0.001717674
ind,mkt,monthly,vw,na,3284,na,30-09-2017,-0.030106038
ind,mkt,monthly,vw,na,3280,na,31-10-2017,0.085368036
ind,mkt,monthly,vw,na,3401,na,30-11-2017,0.006260674
ind,mkt,monthly,vw,na,3415,na,31-12-2017,0.049769076
ind,mkt,monthly,vw,na,3445,na,31-01-2018,0.011295915
ind,mkt,monthly,vw,na,3502,na,28-02-2018,-0.062380679
ind,mkt,monthly,vw,na,3460,na,31-03-2018,-0.041973954
ind,mkt,monthly,vw,na,3448,na,30-04-2018,0.045942639
ind,mkt,monthly,vw,na,3471,na,31-05-2018,-0.040569352
ind,mkt,monthly,vw,na,3464,na,30-06-2018,-0.042250126
ind,mkt,monthly,vw,na,3330,na,31-07-2018,0.052389285
ind,mkt,monthly,vw,na,3374,na,31-08-2018,0.003034014
ind,mkt,monthly,vw,na,3380,na,30-09-2018,-0.114806056
ind,mkt,monthly,vw,na,3491,na,31-10-2018,-0.061420749
ind,mkt,monthly,vw,na,3505,na,30-11-2018,0.094949731
ind,mkt,monthly,vw,na,3468,na,31-12-2018,0.01066837
ind,mkt,monthly,vw,na,3500,na,31-01-2019,-0.047513859
ind,mkt,monthly,vw,na,3494,na,28-02-2019,-0.003612672
ind,mkt,monthly,vw,na,3518,na,31-03-2019,0.096319664
ind,mkt,monthly,vw,na,3528,na,30-04-2019,-0.005695436
ind,mkt,monthly,vw,na,3491,na,31-05-2019,0.009533472
ind,mkt,monthly,vw,na,3472,na,30-06-2019,-0.007681942
ind,mkt,monthly,vw,na,3435,na,31-07-2019,-0.068010568
ind,mkt,monthly,vw,na,3434,na,31-08-2019,-0.041900611
ind,mkt,monthly,vw,na,3422,na,30-09-2019,0.054437276
ind,mkt,monthly,vw,na,3495,na,31-10-2019,0.038937292
ind,mkt,monthly,vw,na,3540,na,30-11-2019,-0.008643609
ind,mkt,monthly,vw,na,3569,na,31-12-2019,0.009106657
ind,mkt,monthly,vw,na,3535,na,31-01-2020,-0.002724328
ind,mkt,monthly,vw,na,3477,na,29-02-2020,-0.075047244
ind,mkt,monthly,vw,na,3407,na,31-03-2020,-0.257740235
ind,mkt,monthly,vw,na,3281,na,30-04-2020,0.140411217
ind,mkt,monthly,vw,na,3267,na,31-05-2020,-0.022691095
ind,mkt,monthly,vw,na,3331,na,30-06-2020,0.096186201
ind,mkt,monthly,vw,na,3508,na,31-07-2020,0.068521305
ind,mkt,monthly,vw,na,3563,na,31-08-2020,0.060160423
ind,mkt,monthly,vw,na,3562,na,30-09-2020,0.001737401
ind,mkt,monthly,vw,na,3544,na,31-10-2020,0.003317698
ind,mkt,monthly,vw,na,3533,na,30-11-2020,0.114168434
ind,mkt,monthly,vw,na,3583,na,31-12-2020,0.092646032
ind,mkt,monthly,vw,na,3670,na,31-01-2021,-0.01039726
ind,mkt,monthly,vw,na,3678,na,28-02-2021,0.063018372
ind,mkt,monthly,vw,na,3708,na,31-03-2021,0.028424585
ind,mkt,monthly,vw,na,3725,na,30-04-2021,0.00019144
ind,mkt,monthly,vw,na,3719,na,31-05-2021,0.099143972
ind,mkt,monthly,vw,na,3798,na,30-06-2021,0.004649424
ind,mkt,monthly,vw,na,3824,na,31-07-2021,0.019423425
ind,mkt,monthly,vw,na,3817,na,31-08-2021,0.078492297
ind,mkt,monthly,vw,na,3803,na,30-09-2021,0.02284951
ind,mkt,monthly,vw,na,3834,na,31-10-2021,-0.013169488
ind,mkt,monthly,vw,na,3841,na,30-11-2021,-0.020922584
ind,mkt,monthly,vw,na,3862,na,31-12-2021,0.035700535
ind,mkt,monthly,vw,na,3893,na,31-01-2022,-0.008511138
ind,mkt,monthly,vw,na,3896,na,28-02-2022,-0.056793075
ind,mkt,monthly,vw,na,3886,na,31-03-2022,0.038519578
ind,mkt,monthly,vw,na,3905,na,30-04-2022,0.003298656
ind,mkt,monthly,vw,na,3892,na,31-05-2022,-0.069027674
ind,mkt,monthly,vw,na,3893,na,30-06-2022,-0.070670983
ind,mkt,monthly,vw,na,3890,na,31-07-2022,0.090265386
ind,mkt,monthly,vw,na,3930,na,31-08-2022,0.047023095
ind,mkt,monthly,vw,na,3964,na,30-09-2022,-0.05307857
ind,mkt,monthly,vw,na,3980,na,31-10-2022,0.008989468
ind,mkt,monthly,vw,na,3995,na,30-11-2022,0.047214676
ind,mkt,monthly,vw,na,4014,na,31-12-2022,-0.043609087
ind,mkt,monthly,vw,na,4048,na,31-01-2023,-0.033055233
ind,mkt,monthly,vw,na,4040,na,28-02-2023,-0.058374909
ind,mkt,monthly,vw,na,4049,na,31-03-2023,0.005705161
ind,mkt,monthly,vw,na,4060,na,30-04-2023,0.053662408
ind,mkt,monthly,vw,na,4084,na,31-05-2023,0.026760239
ind,mkt,monthly,vw,na,4105,na,30-06-2023,0.051004921
ind,mkt,monthly,vw,na,4120,na,31-07-2023,0.033782104
ind,mkt,monthly,vw,na,4152,na,31-08-2023,-0.005820778
ind,mkt,monthly,vw,na,4189,na,30-09-2023,0.019865216
ind,mkt,monthly,vw,na,4228,na,31-10-2023,-0.031888332
ind,mkt,monthly,vw,na,4253,na,30-11-2023,0.068829461
ind,mkt,monthly,vw,na,4282,na,31-12-2023,0.080306896
ind,mkt,monthly,vw,na,4326,na,31-01-2024,0.040585787
ind,mkt,monthly,vw,na,4332,na,29-02-2024,0.019165988
ind,mkt,monthly,vw,na,4354,na,31-03-2024,-0.013030395
